Successfully loaded Excel file: hochma_db_final_corrected.xlsx

--- Missing Chapters ---
No missing chapters found based on the hardcoded Bible structure.

--- Incomplete Chapters (Verse Count Mismatch) ---
창세기 1장: 예상 31개 절, 실제 15개 절
창세기 2장: 예상 25개 절, 실제 9개 절
창세기 3장: 예상 24개 절, 실제 17개 절
창세기 4장: 예상 26개 절, 실제 6개 절
창세기 7장: 예상 24개 절, 실제 7개 절
창세기 9장: 예상 29개 절, 실제 27개 절
창세기 10장: 예상 32개 절, 실제 14개 절
창세기 16장: 예상 16개 절, 실제 15개 절
창세기 18장: 예상 33개 절, 실제 6개 절
창세기 19장: 예상 38개 절, 실제 17개 절
창세기 21장: 예상 34개 절, 실제 2개 절
창세기 22장: 예상 24개 절, 실제 14개 절
창세기 23장: 예상 20개 절, 실제 4개 절
창세기 24장: 예상 67개 절, 실제 17개 절
창세기 25장: 예상 34개 절, 실제 9개 절
창세기 26장: 예상 35개 절, 실제 5개 절
창세기 27장: 예상 46개 절, 실제 5개 절
창세기 28장: 예상 22개 절, 실제 6개 절
창세기 29장: 예상 35개 절, 실제 15개 절
창세기 30장: 예상 43개 절, 실제 6개 절
창세기 37장: 예상 36개 절, 실제 4개 절
창세기 40장: 예상 23개 절, 실제 1개 절
창세기 41장: 예상 57개 절, 실제 1개 절
창세기 47장: 예상 31개 절, 실제 1개 절
창세기 50장: 예상 26개 절, 실제 1개 절
출애굽기 1장: 예상 22개 절, 실제 3개 절
출애굽기 4장: 예상 31개 절, 실제 2개 절
출애굽기 8장: 예상 32개 절, 실제 1개 절
출애굽기 9장: 예상 35개 절, 실제 27개 절
출애굽기 10장: 예상 29개 절, 실제 32개 절
출애굽기 15장: 예상 27개 절, 실제 19개 절
출애굽기 16장: 예상 36개 절, 실제 3개 절
출애굽기 18장: 예상 27개 절, 실제 1개 절
출애굽기 19장: 예상 25개 절, 실제 14개 절
출애굽기 21장: 예상 36개 절, 실제 33개 절
출애굽기 22장: 예상 31개 절, 실제 3개 절
출애굽기 27장: 예상 21개 절, 실제 6개 절
출애굽기 28장: 예상 43개 절, 실제 40개 절
출애굽기 29장: 예상 46개 절, 실제 7개 절
출애굽기 34장: 예상 35개 절, 실제 31개 절
출애굽기 35장: 예상 35개 절, 실제 19개 절
출애굽기 36장: 예상 38개 절, 실제 26개 절
출애굽기 37장: 예상 29개 절, 실제 25개 절
출애굽기 38장: 예상 31개 절, 실제 15개 절
레위기 3장: 예상 17개 절, 실제 13개 절
레위기 4장: 예상 35개 절, 실제 10개 절
레위기 8장: 예상 36개 절, 실제 2개 절
레위기 11장: 예상 47개 절, 실제 11개 절
레위기 13장: 예상 59개 절, 실제 58개 절
레위기 16장: 예상 34개 절, 실제 8개 절
레위기 21장: 예상 24개 절, 실제 23개 절
레위기 24장: 예상 23개 절, 실제 20개 절
레위기 25장: 예상 55개 절, 실제 14개 절
레위기 27장: 예상 34개 절, 실제 3개 절
민수기 1장: 예상 54개 절, 실제 5개 절
민수기 2장: 예상 34개 절, 실제 7개 절
민수기 7장: 예상 89개 절, 실제 3개 절
민수기 8장: 예상 26개 절, 실제 19개 절
민수기 9장: 예상 23개 절, 실제 3개 절
민수기 10장: 예상 36개 절, 실제 32개 절
민수기 13장: 예상 33개 절, 실제 14개 절
민수기 16장: 예상 50개 절, 실제 22개 절
민수기 17장: 예상 13개 절, 실제 1개 절
민수기 18장: 예상 32개 절, 실제 24개 절
민수기 20장: 예상 29개 절, 실제 6개 절
민수기 21장: 예상 35개 절, 실제 31개 절
민수기 22장: 예상 41개 절, 실제 9개 절
민수기 24장: 예상 25개 절, 실제 15개 절
민수기 25장: 예상 18개 절, 실제 9개 절
민수기 26장: 예상 65개 절, 실제 5개 절
민수기 28장: 예상 31개 절, 실제 11개 절
민수기 33장: 예상 56개 절, 실제 18개 절
신명기 2장: 예상 37개 절, 실제 34개 절
신명기 3장: 예상 29개 절, 실제 5개 절
신명기 4장: 예상 49개 절, 실제 15개 절
신명기 7장: 예상 26개 절, 실제 6개 절
신명기 9장: 예상 29개 절, 실제 7개 절
신명기 14장: 예상 29개 절, 실제 6개 절
신명기 16장: 예상 22개 절, 실제 17개 절
신명기 21장: 예상 23개 절, 실제 4개 절
신명기 22장: 예상 30개 절, 실제 21개 절
신명기 26장: 예상 19개 절, 실제 4개 절
신명기 31장: 예상 30개 절, 실제 12개 절
여호수아 2장: 예상 24개 절, 실제 25개 절
여호수아 8장: 예상 35개 절, 실제 26개 절
여호수아 19장: 예상 51개 절, 실제 43개 절
여호수아 21장: 예상 45개 절, 실제 1개 절
사사기 3장: 예상 31개 절, 실제 17개 절
사사기 11장: 예상 40개 절, 실제 9개 절
사무엘상 4장: 예상 22개 절, 실제 1개 절
사무엘상 15장: 예상 35개 절, 실제 13개 절
사무엘상 17장: 예상 58개 절, 실제 10개 절
사무엘상 18장: 예상 30개 절, 실제 23개 절
사무엘상 20장: 예상 42개 절, 실제 23개 절
사무엘상 22장: 예상 23개 절, 실제 3개 절
사무엘상 25장: 예상 44개 절, 실제 20개 절
사무엘상 30장: 예상 31개 절, 실제 30개 절
사무엘하 3장: 예상 39개 절, 실제 5개 절
사무엘하 4장: 예상 12개 절, 실제 9개 절
사무엘하 10장: 예상 19개 절, 실제 14개 절
사무엘하 13장: 예상 39개 절, 실제 12개 절
사무엘하 17장: 예상 29개 절, 실제 16개 절
사무엘하 20장: 예상 26개 절, 실제 7개 절
열왕기상 5장: 예상 18개 절, 실제 1개 절
열왕기상 7장: 예상 51개 절, 실제 13개 절
열왕기상 8장: 예상 66개 절, 실제 36개 절
열왕기상 12장: 예상 33개 절, 실제 14개 절
열왕기상 13장: 예상 34개 절, 실제 1개 절
열왕기상 20장: 예상 43개 절, 실제 15개 절
열왕기상 21장: 예상 29개 절, 실제 16개 절
열왕기상 22장: 예상 53개 절, 실제 20개 절
열왕기하 3장: 예상 27개 절, 실제 17개 절
열왕기하 4장: 예상 44개 절, 실제 18개 절
열왕기하 6장: 예상 33개 절, 실제 6개 절
열왕기하 9장: 예상 37개 절, 실제 1개 절
열왕기하 10장: 예상 36개 절, 실제 1개 절
열왕기하 11장: 예상 21개 절, 실제 20개 절
열왕기하 12장: 예상 21개 절, 실제 18개 절
열왕기하 13장: 예상 25개 절, 실제 16개 절
열왕기하 14장: 예상 29개 절, 실제 2개 절
열왕기하 15장: 예상 38개 절, 실제 10개 절
열왕기하 18장: 예상 37개 절, 실제 1개 절
열왕기하 19장: 예상 37개 절, 실제 14개 절
열왕기하 20장: 예상 21개 절, 실제 15개 절
역대상 2장: 예상 55개 절, 실제 14개 절
역대상 7장: 예상 40개 절, 실제 35개 절
역대상 9장: 예상 44개 절, 실제 1개 절
역대상 11장: 예상 47개 절, 실제 6개 절
역대상 12장: 예상 40개 절, 실제 10개 절
역대상 19장: 예상 19개 절, 실제 11개 절
역대하 2장: 예상 18개 절, 실제 19개 절
역대하 15장: 예상 19개 절, 실제 3개 절
역대하 28장: 예상 27개 절, 실제 25개 절
에스라 6장: 예상 22개 절, 실제 6개 절
느헤미야 2장: 예상 20개 절, 실제 2개 절
느헤미야 7장: 예상 73개 절, 실제 3개 절
느헤미야 9장: 예상 38개 절, 실제 20개 절
느헤미야 12장: 예상 47개 절, 실제 41개 절
욥기 8장: 예상 22개 절, 실제 7개 절
욥기 10장: 예상 22개 절, 실제 12개 절
욥기 17장: 예상 16개 절, 실제 12개 절
욥기 20장: 예상 29개 절, 실제 27개 절
욥기 21장: 예상 34개 절, 실제 9개 절
욥기 22장: 예상 30개 절, 실제 15개 절
욥기 24장: 예상 25개 절, 실제 2개 절
욥기 40장: 예상 24개 절, 실제 19개 절
시편 20장: 예상 9개 절, 실제 1개 절
시편 24장: 예상 10개 절, 실제 4개 절
시편 26장: 예상 12개 절, 실제 10개 절
시편 32장: 예상 11개 절, 실제 1개 절
시편 34장: 예상 22개 절, 실제 8개 절
시편 36장: 예상 12개 절, 실제 2개 절
시편 37장: 예상 40개 절, 실제 33개 절
시편 55장: 예상 23개 절, 실제 12개 절
시편 58장: 예상 11개 절, 실제 1개 절
시편 66장: 예상 20개 절, 실제 7개 절
시편 68장: 예상 20개 절, 실제 35개 절
시편 69장: 예상 28개 절, 실제 2개 절
시편 70장: 예상 23개 절, 실제 5개 절
시편 71장: 예상 10개 절, 실제 24개 절
시편 72장: 예상 12개 절, 실제 19개 절
시편 73장: 예상 20개 절, 실제 28개 절
시편 74장: 예상 72개 절, 실제 23개 절
시편 75장: 예상 13개 절, 실제 7개 절
시편 76장: 예상 19개 절, 실제 12개 절
시편 77장: 예상 19개 절, 실제 20개 절
시편 78장: 예상 8개 절, 실제 72개 절
시편 79장: 예상 18개 절, 실제 6개 절
시편 80장: 예상 12개 절, 실제 2개 절
